jts,JtsFuzzer
jimfs,FileSystemFuzzer
exp4j,ExpressionBuilderFuzzer
woodstox,XmlFuzzer
rxjava,ObservableFuzzer
javapoet,TypeSpecFuzzer
spring-cloud-netflix,HostnameBasedUrlRandomizerFuzzer
guice,InjectorFuzzer
apache-commons-jxpath,JXPathFuzzer
async-http-client,AsyncHttpClientFuzzer
evo-inflector,EnglishFuzzer
quartz,CronScheduleBuilderFuzzer
jackson-dataformat-xml,XmlFuzzer
jackson-dataformat-xml,XmlDeserializerFuzzer
jackson-dataformat-xml,ToXmlGeneratorFuzzer
jackson-dataformat-xml,FromXmlParserFuzzer
jackson-dataformat-xml,XmlSerializerFuzzer
json-flattener,FlattenFuzzer
json-flattener,UnflattenFuzzer
curvesapi,ParseFuzzer
univocity-parsers,TsvParserFuzzer
univocity-parsers,CsvParserFuzzer
brotli-java,FuzzDecode
log4j2,log4j-core-fuzz-test-PatternLayoutFuzzer
log4j2,log4j-slf4j2-impl-fuzz-test-Slf4jToLog4jBridgeWithJsonTemplateLayoutFuzzer
log4j2,log4j-layout-template-json-fuzz-test-JsonTemplateLayoutCodecFuzzer
log4j2,log4j-slf4j2-impl-fuzz-test-Slf4jToLog4jBridgeWithPatternLayoutFuzzer
log4j2,log4j-layout-template-json-fuzz-test-JsonTemplateLayoutFuzzer
xnio-api,HttpParserFuzzer
checker-framework,UtilCheckerFuzzer
checker-framework,UtilCheckerFuzzer
angus-mail,BASE64EncoderStreamFuzzer
angus-mail,ASCIIUtilityFuzzer
dropwizard,DefaultServerFactoryFuzzer
xstream,XmlFuzzer
jsonp-api,GeneratorFuzzer
jsonp-api,CreateJsonFuzzer
jaxb,DataTypeConverterFuzzer
jaxb,DataTypeConverterFuzzer
kryo,DeserializeStringFuzzer
kryo,DeserializeCollectionsFuzzer
kryo,DeserializeNumbersFuzzer
twelve-monkeys,WildcardStringParserFuzzer
cron-utils,CronParserFuzzer
jettison,JsonFuzzer
spatial4j,SpatialContextFuzzer
feign,BodyTemplateFuzzer
feign,UriUtilsFuzzer
checkstyle,CheckstyleFuzzer
tyrus,UriTemplateParserFuzzer
apache-cxf,AttachmentDeserializerFuzzer
apache-cxf,AttachmentSerializerDeserializerFuzzer
apache-cxf,JsonMapObjectReaderWriterFuzzer
apache-cxf,XMLStreamReadersFuzzer
jackson-core,ParseNextTokenFuzzer
jackson-core,WriterBasedJsonGeneratorFuzzer
jackson-core,UTF8GeneratorFuzzer
jackson-core,DataInputFuzzer
jackson-core,JsonFuzzer
jsoup,HtmlFuzzer
jsoup,XmlFuzzer
zip4j,Zip4jFuzzer
servo-core,MonitorConfigFuzzer
aspectj,ASTFuzzer
aspectj,ASTFuzzer
netty,ServerCookieDecoderFuzzer
netty,LongLongHashMapFuzzer
netty,ByteBufUtilFuzzer
netty,HttpRequestDecoderFuzzer
ohc,OhcFuzzer
g-oauth-java-client,OauthSignerFuzzer
snakeyaml,SecureYamlFuzzer
snakeyaml,DefaultYamlFuzzer
fastjson2,JsonFuzzer
joda-time,TimeFuzzer
apache-commons-beanutils,BeanutilsFuzzer
apache-poi,POIXSLFFuzzer
apache-poi,POIOldExcelFuzzer
apache-poi,POIXWPFFuzzer
apache-poi,POIHPBFFuzzer
apache-poi,POIHSSFFuzzer
apache-poi,XLSX2CSVFuzzer
apache-poi,POIHMEFFuzzer
apache-poi,POIVisioFuzzer
apache-poi,POIHSLFFuzzer
apache-poi,POIHPSFFuzzer
apache-poi,POIHDGFFuzzer
apache-poi,POIXSSFFuzzer
apache-poi,POIFuzzer
apache-poi,POIHWPFFuzzer
apache-poi,POIHSMFFuzzer
apache-poi,EncryptDecryptFuzzer
spring-retry,PatternMatcher_match_Fuzzer
json-smart-v2,JSONParserFuzzer
rdf4j,ParserFuzzer
spring-cloud-stream,RabbitExchangeQueueProvisionerFuzzer
tablesaw,ReaderFuzzer
reflections,FilterBuilderFuzzer
reflections,ConfigurationBuilderFuzzer
g-http-java-client,JsonObjectParserFuzzer
xmlunit,DOMDifferenceEngineCompareFuzzer
jsch,OpenSSHConfigFuzzer
json-sanitizer,IdempotenceFuzzer
json-sanitizer,DenylistFuzzer
json-sanitizer,ValidJsonFuzzer
antlr4-java,GrammarFuzzer
docker-client,RegistryAuthFuzzer
mvel,MvelFuzzer
jfreechart,TimeSeriesChartFuzzer
jfreechart,PieDatasetChartFuzzer
jfreechart,DefaultCategoryDatasetChartFuzzer
jul-to-slf4j,BridgeFuzzer
jackson-databind,ObjectReaderRandomClassFuzzer
jackson-databind,ConvertValueFuzzer
jackson-databind,AdaLObjectReader3Fuzzer
jackson-databind,ReadTreeFuzzer
jackson-databind,ObjectReader2Fuzzer
jackson-databind,ObjectReaderFuzzer
jackson-databind,ObjectWriterFuzzer
apache-commons-configuration,XMLConfigurationWriteFuzzer
apache-commons-configuration,XMLConfigurationLoadFuzzer
apache-commons-configuration,INIConfigurationReadFuzzer
apache-commons-configuration,YAMLConfigurationReadFuzzer
apache-commons-configuration,INIConfigurationWriteFuzzer
apache-commons-configuration,JSONConfigurationReadFuzzer
apache-commons-configuration,JSONConfigurationWriteFuzzer
apache-commons-configuration,YAMLConfigurationWriteFuzzer
kie-soup,CronExpressionFuzzer
java-xmlbuilder,XmlBuilderFuzzer
gson,FuzzParse
gson,FuzzStreamParser
gson,FuzzReader
opencensus-java,JsonConversionFuzzer
spring-cloud-commons,EncryptionIntegrationFuzzer
calcite-avatica,ConnectStringParserFuzzer
calcite-avatica,Base64Fuzzer
javassist,ClassFuzzer
g-auth-library-java,CredentialsFuzzer
g-auth-library-java,TokenVerifierFuzzer
apache-commons-net,MLSxEntryParserFuzzer
apache-commons-net,NTFTPEntryParserFuzzer
apache-commons-net,OS400FTPEntryParserFuzzer
apache-commons-net,TelnetOptionFuzzer
apache-commons-net,Base64Fuzzer
fastcsv,CsvReaderFuzzer
args4j,CmdLineParserFuzzer
jsemver,VersionFuzzer
json2avro,ConverterFuzzer
itext7,PdfFuzzer
jose4j,JsonUtilFuzzer
jolt,JsonUtilsFuzzer
apache-commons-csv,CSVParserFuzzer
apache-commons-codec,BinaryEncodingFuzzer
apache-commons-codec,CryptFuzzer
apache-commons-codec,LanguageStringEncoderFuzzer
apache-commons-codec,NetCodecFuzzer
apache-commons-codec,DigestUtilsFuzzer
apache-commons-codec,MurmurHashFuzzer
apache-commons-codec,ChecksumFuzzer
apache-commons-codec,HmacUtilsFuzzer
apache-commons-codec,PhoneticEngineFuzzer
xerces,parserFuzzer
zt-zip,UnpackFuzzer
xz-java,XZEncoderFuzzer
json-java,JsonJavaFuzzer
calcite,SqlParserFuzzer
calcite,CalciteFuzzer
cglib,EnhancerFuzzer
hadoop,FileUtilFuzzer
hadoop,JavaSerializationFuzzer
stringtemplate4,StringFuzzer
snappy-java,BitShuffleFuzzer
snappy-java,SnappyStreamFuzzer
jopt-simple,OptionParserFuzzer
presto,SqlParserFuzzer
apache-commons-imaging,ImagingBmpFuzzer
apache-commons-imaging,ImagingGifFuzzer
apache-commons-imaging,ImagingPngFuzzer
apache-commons-imaging,ImagingTiffFuzzer
apache-commons-imaging,ImagingJpegFuzzer
qdox,JavaProjectBuilderFuzzer
antlr3-java,GrammarFuzzer
junrar,JunrarFuzzer
apache-commons-cli,ParserFuzzer
caffeine,CaffeineSpecFuzzer
sigstore-java,TufVerifierFuzzer
sigstore-java,CertificateEntryFuzzer
sigstore-java,SerializationFuzzer
sigstore-java,JsonCanonicalizerFuzzer
sigstore-java,FulcioCertificateMatcherFuzzer
sigstore-java,CertificatesFuzzer
sigstore-java,RekorVerifierFuzzer
sigstore-java,DigitallySignedFuzzer
sigstore-java,FulcioVerifierFuzzer
sigstore-java,RekorTypesFuzzer
sigstore-java,BundleReaderFuzzer
sigstore-java,SignerVerifierFuzzer
